Language;Intended use;Imperative;Object-oriented;Functional;Procedural;Generic;Reflective;Event-driven;Other paradigm(s);Standardized?;Type safety;Type expression;Type compatibility and equivalence;Type checking
ActionScript 3.0;Application, client-side, Web;Yes;Yes;;;;;Yes;;1996, ECMA;safe;implicit with optional explicit typing;;static
Ada;Application, embedded, realtime,system;Yes;Yes;;Yes;Yes;;;concurrent, distributed, imperative object-oriented;1983, 2005, 2012, ANSI, ISO,GOST 27831-88;safe;explicit;nominal;static
Aldor;Highly domain-specific, symbolic computing;Yes;Yes;Yes;;;;;;No;unsafe;implicit;;static
ALGOL 58;Application;Yes;;;;;;;;No;safe;explicit;;static
ALGOL 60;Application;Yes;;;;;;;;1960, IFIP WG 2.1, ISO;safe;explicit;;static
ALGOL 68;Application;Yes;;;;;;;concurrent;1968, IFIP WG 2.1, GOST 27974-88,;safe;explicit;structural;static & tagged unions
Ateji PX;Parallel application;;Yes;;;;;;pi calculus;No;safe;explicit;nominal;static
APL;Application, data processing;;;;;;;;array-oriented,tacit;1989, ISO;safe;;;dynamic
Assembly language;General;Yes;;;;;;;any, syntax is usually highly specific, related to the target processor;No;;;;
AutoHotkey;GUI automation (macros), highly domain-specific;Yes;;;;;;;;No;typeless;n/a;n/a;n/a
AutoIt;GUI automation (macros), highly domain-specific;Yes;;;Yes;;;Yes;;No;;;;
Bash;Shell, scripting;Yes;;;Yes;;;;;;?;?;?;?
BASIC;Application, education;Yes;;;Yes;;;;;1983, ANSI, ISO;safe;explicit;nominal;static
BBj;Application, business, Web;;Yes;;Yes;;;;;No;;;;
BeanShell;Application, scripting;Yes;Yes;Yes;;;Yes;;;In progress,JCP;safe;;nominal;dynamic
BitC;System;Yes;;Yes;;;;;;No;;;;
BLISS;System;;;;Yes;;;;;No;typeless;n/a;n/a;n/a
BlitzMax;Application, game;Yes;Yes;;Yes;;;;;No;;;;
Blue;Education;Yes;Yes;;;Yes;;;;No;;;;
Boo;Application;;;;;;;;;No;safe;implicit with optional explicit typing;;static with optional dynamic typing
Bro;domain-specific, application;Yes;;;;;;Yes;;No;safe;implicit with optional explicit typing;nominal;static
C;Application, system, general purpose, low-level operations;Yes;;;Yes;;;;;1989, ANSI C89, ISO C90, ISO C99, ISO C11;unsafe;explicit;nominal;static
C++;Application, system;Yes;Yes;Yes;Yes;Yes;;;;1998, ISO/IEC 1998, ISO/IEC 2003, ISO/IEC 2011;unsafe;explicit;nominal;static
C#;Application, RAD, business, client-side, general, server-side, Web;Yes;Yes;Yes;Yes;Yes;Yes;Yes;structured, concurrent;2000, ECMA, ISO;unsafe;implicit with optional explicit typing;nominal;static
Clarion;General, business, Web;Yes;Yes;Yes;;;;;;Unknown;;;;
Clean;General;;;Yes;;Yes;;;;No;safe;implicit;;static
Clojure;General;;;Yes;;;;;concurrent;No;safe;implicit with optional explicit typing;;dynamic
CLU;General;Yes;Yes;;Yes;Yes;;;;No;;;;
COBOL;Application, business;Yes;Yes;;Yes;;;;;ANSI X3.23 1968, 1974, 1985 - ISO/IEC 1989:1985, 2002, 2014;safe;explicit;nominal;static
Cobra;Application, business, general, Web;Yes;Yes;Yes;;Yes;Yes;;;No;;;;
ColdFusion(CFML);Web;;Yes;;Yes;;;;;No;safe;implicit;;dynamic
Common Lisp;General;Yes;Yes;Yes;Yes;Yes;Yes;Yes;extensible syntax,syntactic macros,multiple dispatch;1994, ANSI;safe;implicit with optional explicit typing;;dynamic
